set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub_bid,lb_bid,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set1,(2-3)s+A(1-2)s,2s,10,23,40,70,326,348,10,23,40,70,326,348,2778,2778,2778,2778,0.0,1,0,0.0,0.0,0.0,0.031,0.031
Set1,(2-3)s+A(1-2)s,3s,20,62,40,70,1529,1742,19,51,40,70,1277,1336,2721,2721,2721,2721,0.0,1,0,0.015,0.0,0.0,0.0,0.015
Set1,(2-3)s+A(1-2)s,A1s,20,62,50,60,1529,1742,19,53,50,60,1272,1411,2950,2950,2950,2950,0.0,1,0,0.0,0.0,0.0,0.0,0.0
Set1,(2-3)s+A(1-2)s,A2s,20,53,60,60,1248,1436,20,53,60,60,1248,1460,3535,3535,3535,3535,0.0,1,0,0.0,0.0,0.016,0.0,0.016
Set1,A(3-5),A3,20,46,70,80,1178,1314,20,46,70,80,1178,1314,5451,5451,5451,5451,0.0,1,0,0.0,0.0,0.0,0.221,0.221
Set1,A(3-5),A4,20,35,90,70,828,962,19,35,90,70,828,962,6179,6179,6179,6179,0.0,1,0,0.0,0.0,0.0,0.047,0.047
Set1,A(3-5),A5,20,45,132,100,1620,1468,20,45,132,100,1620,1471,12985,12985,12985,12985,0.0,1,0,0.0,0.0,0.016,0.347,0.363
Set1,APT(30-39),APT30,38,192,927,152,41137,5123,38,192,927,152,41137,5123,140904,140904,140904,140904,0.0,1,0,0.016,0.11,0.094,0.0,0.22
Set1,APT(30-39),APT31,51,258,856,964,48131,56030,51,258,856,964,48131,56030,823976,823976,823976,823976,0.0,1,0,0.095,1.182,0.0,3.533,4.81
Set1,APT(30-39),APT32,56,249,307,124,17230,6238,55,249,307,124,17230,6238,38068,38068,38068,38068,0.0,1,0,0.002,0.019,0.0,3.31,3.331
Set1,APT(30-39),APT33,44,224,241,983,12828,48578,44,224,241,983,12828,48578,236611,236611,236611,236611,0.0,1,0,0.032,0.173,0.0,0.923,1.128
Set1,APT(30-39),APT34,27,130,795,456,21550,10170,27,130,795,456,21550,10170,361479,361398,361479,361398,2.240794071024873E-4,0,0,0.015,0.311,0.229,529.448,530.003
Set1,APT(30-39),APT35,29,153,960,649,33503,20151,29,153,960,649,33503,20151,621021,621021,621021,621021,0.0,1,0,0.048,0.617,0.333,28.892,29.89
Set1,APT(30-39),APT36,28,153,537,244,16383,8769,28,153,537,244,16383,8769,130744,130744,130744,130744,0.0,1,0,0.0,0.079,0.042,0.17,0.291
Set1,APT(30-39),APT37,43,222,440,881,22049,43004,43,222,440,881,22049,43004,387276,387276,387276,387276,0.0,1,0,0.032,0.341,0.0,0.533,0.906
Set1,APT(30-39),APT38,40,202,731,358,35227,14187,40,202,731,358,35227,14187,261395,261395,261395,261395,0.0,1,0,0.032,0.225,0.0,5.786,6.043
Set1,APT(30-39),APT39,33,163,538,501,22344,20648,33,163,538,501,22344,20648,268750,268750,268750,268750,0.0,1,0,0.016,0.143,0.084,0.139,0.382
Set1,CHL(1-4)s,CHL1s,30,63,132,100,2110,2102,30,63,132,100,2110,2102,13099,13099,13099,13099,0.0,1,0,0.001,0.003,0.0,0.278,0.282
Set1,CHL(1-4)s,CHL2s,10,19,62,55,426,334,10,19,62,55,428,334,3279,3279,3279,3279,0.0,1,0,0.0,0.0,0.004,0.0,0.004
Set1,CHL(1-4)s,CHL3s,15,35,157,121,632,462,14,35,157,121,632,462,7402,7402,7402,7402,0.0,1,0,0.0,0.0,0.0,0.0,0.0
Set1,CHL(1-4)s,CHL4s,15,27,207,231,679,570,15,27,207,231,679,570,13932,13932,13932,13932,0.0,1,0,0.0,0.0,0.0,0.0,0.0
Set1,CHL(5-7),CHL5,10,18,20,20,176,115,10,18,20,20,178,115,390,390,390,390,0.0,1,0,0.0,0.0,0.0,0.0,0.0
Set1,CHL(5-7),CHL6,30,65,130,130,2394,2244,30,65,130,130,2394,2244,16869,16869,16869,16869,0.0,1,0,0.0,0.022,0.004,0.004,0.03
Set1,CHL(5-7),CHL7,35,75,130,130,2612,2479,34,75,130,130,2612,2479,16881,16881,16881,16881,0.0,1,0,0.004,0.012,0.0,0.02,0.036
Set1,CU(1-11),CU1,25,82,100,125,2425,4375,25,82,100,125,2425,4385,12330,12330,12330,12330,0.0,1,0,0.005,0.002,0.0,0.0,0.007
Set1,CU(1-11),CU2,35,90,150,175,5392,5696,34,90,150,175,5423,5714,26100,26100,26100,26100,0.0,1,0,0.002,0.0,0.0,0.0,0.002
Set1,CU(1-11),CU3,45,158,134,125,7279,6887,45,158,134,125,7279,6888,16723,16723,16723,16723,0.0,1,0,0.002,0.0,0.006,0.0,0.008
Set1,CU(1-11),CU4,45,113,285,354,11979,14204,45,113,285,354,11993,14226,99495,99495,99495,99495,0.0,1,0,0.003,0.016,0.0,0.0,0.019
Set1,CU(1-11),CU5,50,120,456,385,22609,17218,50,120,456,385,22690,17255,173364,173364,173364,173364,0.0,1,0,0.047,0.015,0.015,0.0,0.077
Set1,CU(1-11),CU6,45,124,356,447,17368,18875,45,124,356,447,17385,18880,158572,158572,158572,158572,0.0,1,0,0.032,0.031,0.0,0.0,0.063
Set1,CU(1-11),CU7,25,56,563,458,11852,10575,26,56,563,458,11994,10637,247150,247150,247150,247150,0.0,1,0,0.012,0.028,0.001,0.002,0.043
